Scan_number,ObjectX,ObjectY,ObjectLenght,ObjectWidth,ObjOrientation,NumerOfPoints
1.0,6.32651,10.072369,0.290152,0.027722,37.0,3.0
1.0,4.074132,6.452267,0.38434,0.280565,87.0,43.0
1.0,24.373369,15.446837,1.450695,0.55621,176.000015,9.0
1.0,18.406696,4.681753,10.848429,2.155038,0.0,177.0
1.0,31.137844,3.433215,10.144722,1.03911,174.0,43.0
1.0,39.540787,3.013514,1.578842,0.121897,172.0,6.0
1.0,43.412064,2.689756,1.782921,0.100995,172.0,6.0
1.0,48.140587,2.052946,2.321926,0.195646,156.0,7.0
1.0,52.510323,1.651464,1.554283,0.138117,153.0,4.0
1.0,55.963684,1.699602,0.254143,0.001626,2.0,2.0
1.0,59.778904,1.389394,0.05,0.05,0.0,1.0
1.0,64.089081,1.034253,0.05,0.05,0.0,1.0
1.0,67.817253,0.614804,0.05,0.05,0.0,1.0
1.0,71.790504,0.156873,0.05,0.05,0.0,1.0
2.0,-7.618156,6.504328,3.080406,0.90967,176.000015,42.0
3.0,5.306855,-5.054673,0.294608,0.099627,56.0,8.0
3.0,4.049064,6.37926,0.271668,0.256155,86.0,9.0
4.0,36.012882,-8.066313,1.493034,0.711037,68.0,7.0
4.0,27.716845,-8.19186,2.444551,0.104307,56.0,46.0
4.0,15.886611,-8.695394,6.095561,0.753014,61.0,181.0
4.0,26.15369,-10.624276,0.606186,0.035912,60.0,4.0
4.0,25.454315,-11.738295,0.05,0.05,0.0,1.0
4.0,7.148348,-4.691267,0.05,0.05,0.0,1.0
4.0,8.936795,-6.029642,0.77283,0.006923,61.0,4.0
4.0,6.639136,-5.05477,0.300508,0.085072,52.0,21.0
4.0,12.878437,-9.171914,0.05,0.05,0.0,1.0
4.0,22.722347,-16.47357,0.073933,0.000528,89.0,2.0
4.0,30.839655,-24.629412,3.470884,0.078075,107.0,8.0
4.0,5.254823,-5.224836,0.360155,0.302444,19.0,36.0
4.0,38.620808,-35.429043,4.137329,2.411324,128.0,13.0
4.0,-2.134627,-10.768085,1.082804,0.846028,11.000001,56.0
4.0,-3.351477,-10.722904,0.443674,0.038304,135.0,6.0
4.0,-3.588568,-9.820675,0.201402,0.061518,151.0,4.0
4.0,-4.698114,-9.756253,0.511815,0.103981,147.000015,7.0
4.0,6.264253,10.069048,0.334165,0.044637,30.0,4.0
4.0,4.030223,6.459902,0.410657,0.280263,86.0,41.0
4.0,24.248463,15.503176,1.26787,0.721861,176.999985,10.0
4.0,26.994751,4.013543,2.507494,0.304882,174.0,17.0
4.0,43.641041,2.625607,0.509144,0.155565,145.0,5.0
4.0,47.297264,2.437969,1.9874,0.33658,3.0,4.0
4.0,50.909599,1.807558,1.654083,0.560923,15.0,5.0
4.0,54.998337,1.568275,1.558556,0.605639,15.0,4.0
4.0,59.753204,1.178021,0.05,0.05,0.0,1.0
4.0,63.792233,0.804992,0.05,0.05,0.0,1.0
4.0,71.365807,0.393528,0.05,0.05,0.0,1.0
4.0,74.873199,-0.379446,1.723457,0.001274,161.999985,2.0
4.0,78.855629,-1.498707,1.514717,0.001883,158.0,2.0
4.0,83.648575,-3.120901,4.532112,0.349577,157.0,4.0
5.0,-4.790608,-8.604722,0.360202,0.0618,178.0,8.0
5.0,-3.878,-9.998634,1.974232,0.448155,146.0,33.0
5.0,5.164404,-5.182045,0.30014,0.099459,52.0,8.0
6.0,-7.607997,6.499515,3.303221,0.895797,176.000015,44.0
7.0,35.939587,-8.062222,1.807451,0.739235,75.0,8.0
7.0,27.6003,-8.25975,2.436172,0.159575,55.0,47.0
7.0,15.915755,-8.792871,6.079234,0.435539,60.0,179.0
7.0,26.165882,-10.524599,0.620361,0.009609,57.999996,4.0
7.0,25.479265,-11.641445,0.05,0.05,0.0,1.0
7.0,8.884558,-6.046959,0.769269,0.030661,62.000004,4.0
7.0,12.446118,-8.783276,1.500639,0.675149,176.000015,7.0
7.0,6.759712,-4.907096,0.766304,0.134739,43.0,24.0
7.0,22.678068,-16.448486,0.144958,0.016542,40.0,3.0
7.0,30.62833,-23.959869,4.434706,0.077312,108.999992,9.0
7.0,46.462288,-35.43996,1.981178,0.079456,119.000008,3.0
7.0,5.270709,-5.297498,0.473384,0.440158,114.0,37.0
7.0,37.585812,-34.477722,1.736526,1.401199,32.0,10.0
7.0,39.087143,-37.091606,0.585262,0.003674,72.0,2.0
7.0,-2.181755,-10.807925,1.153265,0.74355,12.0,54.0
7.0,-3.380957,-10.722383,0.453686,0.020665,133.0,6.0
7.0,-3.606123,-9.881627,0.140501,0.02863,161.999985,3.0
7.0,-4.664515,-9.826244,0.462363,0.055554,144.0,7.0
7.0,6.195306,10.088555,0.258988,0.217985,6.0,4.0
7.0,3.993267,6.441806,0.375283,0.287227,83.0,41.0
7.0,24.268023,15.415455,1.360617,0.584217,176.999985,9.0
7.0,41.324238,2.842097,5.945316,0.052833,175.0,12.0
7.0,47.126022,2.292103,1.278809,0.096915,166.0,6.0
7.0,52.064331,1.935785,0.323662,0.001081,2.0,2.0
7.0,55.423771,1.313142,0.785069,0.681564,84.999992,3.0
7.0,59.031849,1.673786,0.05,0.05,0.0,1.0
7.0,63.82935,1.018533,0.05,0.05,0.0,1.0
7.0,67.973198,0.615618,0.05,0.05,0.0,1.0
7.0,71.834496,0.143897,0.05,0.05,0.0,1.0
7.0,74.992615,-0.377264,0.05,0.05,0.0,1.0
8.0,5.26333,-5.065474,0.294562,0.03509,40.0,8.0
8.0,3.973508,6.36868,0.335738,0.248791,167.0,10.0
9.0,-4.855108,-8.607015,0.353731,0.034469,174.0,8.0
9.0,-4.342602,-9.910666,1.187735,0.195011,145.0,23.0
9.0,-3.207252,-10.312429,0.454322,0.113746,145.0,6.0
9.0,5.133221,-5.213878,0.288666,0.091465,35.0,8.0
10.0,35.951332,-8.066207,1.396255,0.895786,63.000004,7.0
10.0,27.572206,-8.241435,2.610483,0.159424,54.0,50.0
10.0,15.637138,-8.63798,5.995556,1.016733,60.0,184.0
10.0,26.12635,-10.513088,0.404566,0.012312,57.999996,3.0
10.0,25.380806,-11.720588,0.05,0.05,0.0,1.0
10.0,7.251011,-4.619495,0.05,0.05,0.0,1.0
10.0,9.019617,-5.732192,0.05,0.05,0.0,1.0
10.0,12.67304,-8.723928,0.810966,0.653484,61.0,6.0
10.0,6.586344,-4.992457,0.476782,0.097556,54.0,22.0
10.0,8.622564,-6.372434,0.035496,0.000119,97.0,2.0
10.0,10.655133,-7.917247,0.05,0.05,0.0,1.0
